video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,commentCount,duration,definition,durationSecs,dayPublished,tagCount
hY3B_sTrqeg,Be Kind Rewind,Why Myrna Loy Never Got an Oscar Nomination | Always Second Best Actress,"Start speaking a new language in 3 weeks with Babbel! Get up to 65% OFF your subscription HERE: https://go.babbel.com/12m65-youtube-bekindrewind-apr-2022/default 

In this video I talk about Myrna Loy: the very strange start to her career, why she was called ""the perfect wife,"" and why she was never nominated for an Oscar. 

The Best Years of Our Lives: https://www.youtube.com/watch?v=YiPbcX26nr4 (also streaming on Amazon Prime)

Libeled Lady (a favorite of mine) is streaming on HBO Max

The Black Watch is streaming on the Criterion Channel

Check your local listings for TCM re: the Thin Man movies, they show those all the time

The Thin Man Goes Home: https://www.youtube.com/watch?v=TT7PeXVlPMU 

Shadow of the Thin Man: https://www.youtube.com/watch?v=8pwQ3VxFUuk 

If This Be Sin: https://www.youtube.com/watch?v=eftmy89xVGk 

The Barbarian: https://www.youtube.com/watch?v=C3egPUy4Cg0 

Vanity Fair: https://www.youtube.com/watch?v=fWwUICVzLTg 

The Red Pony: https://www.youtube.com/watch?v=i3U4IQI85Q8 

Topaze: https://www.youtube.com/watch?v=yvS1zJ0erTA 

Bette Davis Oscar Video: https://www.youtube.com/watch?v=1aCgkHVUOgE&t=457s 

Luise Rainer Oscar Video: https://www.youtube.com/watch?v=YFcJlFy53B4&t=3s 

Thank you to Spencer Glesby for the help!

Thank you to my Patrons! Find me on Patreon/social at:

https://www.patreon.com/bkrewind
twitter.com/bkrewind
instagram.com/bk_rewind

Music from Epidemic Sound",,2022-04-26 22:50:32+00:00,61398,3829,489,PT37M14S,hd,2234,Tuesday,0
_pFUv9Cneuw,Be Kind Rewind,Miyoshi Umeki: The First East Asian Woman to Win an Acting Oscar,"Get a whole month of great cinema FREE on MUBI: https://mubi.com/bekindrewind

Lee Grant's DOWN AND OUT IN AMERICA is now streaming on MUBI in the US and Canada

In this video I talk about Miyoshi Umeki - the first East Asian woman to win an acting Oscar!

Sayonara is currently streaming on Tubi and Amazon Prime

The Donna Reed Show is currently streaming on Tubi

Flowing is currently streaming on the Criterion Channel

Watch Flower Drum Song here: https://www.youtube.com/watch?v=cOj7mjFTAGQ

Watch Peyton Place here: https://www.youtube.com/watch?v=2WYjo-Wrd2w

Miyoshi Umeki singing: 
Spotify playlist: https://open.spotify.com/playlist/2GVEkWWf06au2MfxqIdMcg?si=76fd5dc5d9f847ab
https://www.youtube.com/watch?v=9r8slsfL0cw
https://www.youtube.com/watch?v=if_3PfaJB68 

Thank you to my Patrons! Find me on Patreon/social at:

patreon.com/bkrewind
twitter.com/bkrewind
instagram.com/bk_rewind

Music from Epidemic Sound",,2022-04-01 01:04:17+00:00,63564,4052,320,PT28M37S,hd,1717,Friday,0
Fnr0-hBYwlg,Be Kind Rewind,Ruth Gordon's Unique and Defiant Journey to Oscar,"Get a whole month of great cinema FREE on MUBI: https://mubi.com/bekindrewind

In this video I talk about the resilience of Ruth Gordon and her Oscar win for Rosemary's Baby in 1969! 

Read Ruth Gordon's books for free online:
An Open Book: https://archive.org/details/ruthgordonopenbo00gord
Myself Among Others: https://archive.org/details/myselfamongother0000unse 

Watch some of Ruth's Movies:
Rosemary's Baby is streaming on Hulu
Inside Daisy Clover is streaming on HBO Max
Adam's Rib is streaming on HBO Max
Edge of Darkness: https://www.youtube.com/watch?v=Mk8p45qlzUc
Lord Love a Duck: https://www.youtube.com/watch?v=lYXSdXD34Vs
A Double Life: https://www.youtube.com/watch?v=24C6vASJWaU

Just leaving this here: https://twitter.com/Portrait_Movie/status/1233540586688282624",,2022-02-20 19:14:30+00:00,90493,4684,449,PT27M31S,hd,1651,Sunday,0
lBPdwnFj_c8,Be Kind Rewind,The Making of Marilyn Monroe's Very Meta Last Film,"Get a whole month of great cinema FREE on MUBI: https://mubi.com/bekindrewind

In this video I talk about how The Misfits dissects, subverts, and mirrors Marilyn’s star persona, some of those behind-the-scenes-scandals, and why The Misfits is the strangest, most foreboding meta-commentary on her career that exists.

Thank you to my Patrons! Find me on Patreon/social at:

patreon.com/bkrewind
twitter.com/bkrewind
instagram.com/bk_rewind

Music from Epidemic Sound",,2022-01-31 22:08:03+00:00,174652,8124,866,PT36M47S,hd,2207,Monday,0
G8yPPQqahv0,Be Kind Rewind,Why Tallulah Bankhead Never Became a Movie Star,"Go to https://NordVPN.com/bekindrewind  to get a 2-year plan at a huge discount plus 1 month free. It’s risk free with Nord’s 30 day money-back guarantee!

In this video I take a look at Tallulah Bankhead's film career: why it never took off and why she never needed it to!

The Cheat: https://www.youtube.com/watch?v=JmlM4zyLH98
Tarnished Lady: https://www.youtube.com/watch?v=LGT_zGDmwWA
My Sin: https://www.youtube.com/watch?v=30QGgc_jUyk 
Devil and the Deep: https://www.youtube.com/watch?v=RcpzwAHCfas 

Lifeboat is currently streaming on the Criterion Channel


Thank you to my Patrons! Find me on Patreon/social at:

patreon.com/bkrewind
twitter.com/bkrewind
instagram.com/bk_rewind

Music from Epidemic Sound",,2022-01-17 22:01:34+00:00,273118,9100,917,PT51M53S,hd,3113,Monday,0
vwGsNPHvghU,Be Kind Rewind,Comparing the film versions of West Side Story,"Start speaking a new language in 3 weeks with Babbel. Get up to 65% OFF your  subscription ➡ Here: https://go.babbel.com/12m65-youtube-bekindrewind-dec-2021/default 

In this video I talk about how the 1961 film version of West Side Story differs from the 2021 version. 

Here's more about Rita Moreno: https://www.youtube.com/watch?v=eLEFmVC1VJc 

Here's more about that Audrey Hepburn situation: https://www.youtube.com/watch?v=unqQM3nuO-o

Thank you to my Patrons! Find me on Patreon/social at:

patreon.com/bkrewind
twitter.com/bkrewind
instagram.com/bk_rewind

Music from Epidemic Sound",,2021-12-21 02:32:20+00:00,270581,10647,1635,PT41M36S,hd,2496,Tuesday,0
CuBu28jal60,Be Kind Rewind,12 Days of Actress ft. your favorite YouTubers,"Holiday Deal! Go to https://NordVPN.com/bekindrewind  to get a 2-year plan at a huge discount plus 1 month free. It’s risk free with Nord’s 30 day money-back guarantee!

This holiday season, I asked some of my favorite YouTubers to recommend a great performance in a movie they love. Here's what they had to say!

Here's this list on Letterboxd: https://letterboxd.com/bkrewind/list/12-days-of-actress/

Check out my contributors' channels if you haven't already! I promise you'll have a good time.

Mina Le:
https://www.youtube.com/c/minale99
Watch What's Up, Doc? on HBO Max

Jaymes Mansfield:
https://www.youtube.com/c/JaymesMansfield
Watch Suspiria on Tubi: https://tubitv.com/movies/326260/suspiria?start=true&utm_source=google-feed&tracking=google-feed 

Melina Pendulum aka Princess Weekes:
https://www.youtube.com/c/MelinaPendulum
Watch Batman on HBO Max

Matt Baume: 
https://www.youtube.com/c/MattBaume
Watch West Side Story on Hulu

ModernGurlz:
https://www.youtube.com/c/ModernGurlz
Watch Attack! on Amazon Prime

The Armchair Auteur:
https://www.youtube.com/c/TheArmchairAuteur
Watch Jackie Brown on Hulu and HBO Max

Yhara Zayd:
https://www.youtube.com/c/Yharazayd
Watch Eve's Bayou on HBO Max

Eyebrow Cinema:
https://www.youtube.com/c/EyebrowCinema
Watch Summer Interlude on The Criterion Channel

Rowan Ellis:
https://www.youtube.com/c/RowanEllisVideos
Watch Scream on Pluto, Amazon/Paramount+

Cold Crash Pictures:
https://www.youtube.com/user/coldcrashpictures
Watch with Amazon Prime Premium subscription

Broey Deschanel:
https://www.youtube.com/c/BroeyDeschanel 
Watch Deathtrap: https://ok.ru/video/1043470944948 

and then there's ME!
Watch La Ceremonie on The Criterion Channel 

Here are the 25 Days of Actress videos from last year:
https://www.youtube.com/watch?v=kdGr5A7CtJg&list=PLyaBHDKIn8HHjeltjBDguMbnlhNBU7aAc

Thank you to my Patrons! Find me on Patreon/social at:

patreon.com/bkrewind
twitter.com/bkrewind
instagram.com/bk_rewind

Music from Epidemic Sound",,2021-12-12 16:22:20+00:00,49836,3483,413,PT39M54S,hd,2394,Sunday,0
6BVb2mGcXxE,Be Kind Rewind,Lee Grant Overcame the Blacklist and Won an Oscar,"Try Sundance Now free for 30 days by going to http://SundanceNow.com and use promo code bkrewind

In this video I talk about the career of Lee Grant: how she was blacklisted, how she got off the list, and how it shaped both her art and her world view. 

Watch the TVTV Oscars Doc: https://mediaburn.org/video/tvtv-looks-at-the-academy-awards-2/ 

Watch The Landlord: https://www.youtube.com/watch?v=_BZncZK9qk4 

Watch Valley of the Dolls: https://www.youtube.com/watch?v=rbzuxcxpirU 

Watch The Neon Ceiling: https://www.youtube.com/watch?v=4lETdpRBlc0 

What is McCarthyism? https://www.youtube.com/watch?v=N35IugBYH04 

Read Red Channels: https://babel.hathitrust.org/cgi/pt?id=uc1.31822043022086&view=1up&seq=7&skin=2021 

Shampoo is currently streaming on Showtime

In the Heat of the Night is currently streaming on Cinemax and DirectTV

Thank you to my Patrons! Find me on Patreon/social at:

https://www.patreon.com/bkrewind
twitter: bkrewind
instagram: bk_rewind
tiktok: bkrewind",,2021-11-30 00:51:21+00:00,95383,5104,543,PT35M6S,hd,2106,Tuesday,0
DfuR620pLog,Be Kind Rewind,Comparing The Addams Family Sitcom and 90s Movies,"To try Shudder free for 30 days, go to https://www.shudder.com/ and use promo code bekindrewind!

In this video, I take a look at why The Addams Family was called “television’s answer to whatever you don’t like about the 20th century” and think about what that means in the 1960s vs. 1990s. 

Why no Lily Munster? By History Tea Time with Lindsay Holiday: https://www.youtube.com/watch?v=An15ZHGBtnc 

Some Addams Family episodes are on YouTube (you can also stream the whole series if you have Amazon Prime through IMDB). Here’s the first episode: https://www.youtube.com/watch?v=HQlB4jSy-3Q 

Stream seasons 5 & 6 of Bewitched for free on Tubi 

Stream seasons 2-4 of I Dream of Jeannie for free on Tubi

Thank you to my Patrons! Find me on Patreon/social at:

patreon.com/bkrewind
twitter.com/bkrewind
instagram.com/bk_rewind

Music from Epidemic Sound",,2021-10-28 00:41:22+00:00,234864,15290,985,PT29M43S,hd,1783,Thursday,0
26kzCQ6SbxE,Be Kind Rewind,Why Deborah Kerr Never Won an Oscar | Always Second Best Actress,"Go to https://nordpass.com/bekindrewind and use code bekindrewind to get 50% off a 2 year NordPass Premium plan plus 4 free months!

In this video, I dive deep into the career of Deborah Kerr. I talk about her ladylike persona, why it’s not quite as ladylike as you might think, the timing of her fame, and why she tends to be overlooked as a celebrity.

The Criterion Channel is currently streaming a ton of Deborah Kerr videos so make sure you check them out. 

Here are a few of her movies on YouTube:

Black Narcissus (my favorite): https://www.youtube.com/watch?v=sQA5fGkiBk8
The Innocents: https://www.youtube.com/watch?v=-0P4yNjMUvA
The Life and Death of Colonel Blimp: https://www.youtube.com/watch?v=kkQGZdgJcRo
Prudence and the Pill: https://www.youtube.com/watch?v=zEnud5ALbYA
The Naked Edge: https://www.youtube.com/watch?v=-0hOYI4ugic

Thank you to my Patrons! Find me on Patreon/social at:

patreon.com/bkrewind
twitter.com/bkrewind
Tik Tok: bkrewind
instagram.com/bk_rewind

Music from Epidemic Sound",,2021-09-30 21:35:19+00:00,205365,7264,1007,PT43M31S,hd,2611,Thursday,0
